college,signingBonus_diff,awareness_rating,shortRouteRunning_diff,press_diff,carrying_diff,strength_rating,catchInTraffic_rating,pursuit_rating,plyrAssetname,breakSack_diff,plyrPortrait_diff,catching_rating,spinMove_rating,acceleration_diff,breakTackle_diff,height,finesseMoves_rating,strength_diff,runBlock_rating,tackle_rating,runBlock_diff,kickPower_diff,zoneCoverage_rating,plyrBirthdate,awareness_diff,runningStyle_rating,totalSalary,trucking_rating,toughness_diff,hitPower_diff,tackle_diff,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,status,lastName,jerseyNum_diff,jerseyNum,breakSack_rating,passBlockFinesse_diff,jumping_rating,throwAccuracyDeep_diff,stamina_diff,throwAccuracyShort_diff,powerMoves_diff,throwOnTheRun_diff,zoneCoverage_diff,jukeMove_diff,speed_diff,release_rating,agility_diff,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,impactBlocking_diff,stamina_rating,plyrPortrait,kickPower_rating,throwUnderPressure_rating,team,signingBonus,height_diff,playAction_diff,throwUnderPressure_diff,changeOfDirection_diff,blockShedding_rating,fullNameForSearch,overall_rating,deepRouteRunning_diff,passBlockFinesse_rating,runBlockFinesse_diff,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,primaryKey_diff,mediumRouteRunning_diff,playAction_rating,totalSalary_diff,teamId_diff,leadBlock_diff,catchInTraffic_diff,mediumRouteRunning_rating,acceleration_rating,spinMove_diff,yearsPro_diff,spectacularCatch_rating,injury_rating,weight,playRecognition_diff,deepRouteRunning_rating,firstName,yearsPro,manCoverage_diff,catching_diff,throwAccuracyShort_rating,position,overall_diff,weight_diff,bCVision_diff,throwPower_diff,speed_rating,runBlockPower_rating,injury_diff,toughness_rating,throwOnTheRun_rating,jumping_diff,spectacularCatch_diff,manCoverage_rating,stiffArm_rating,throwAccuracyMid_diff,trucking_diff,passBlock_diff,powerMoves_rating,iteration,stiffArm_diff,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,plyrHandedness,kickReturn_diff,passBlock_rating,changeOfDirection_rating,press_rating,passBlockPower_diff,pursuit_diff,release_diff,throwAccuracyDeep_rating,age_diff,archetype,runBlockPower_diff,runBlockFinesse_rating,finesseMoves_diff,blockShedding_diff,kickAccuracy_diff,teamId,agility_rating,age,primaryKey
Cincinnati,0.0,98,0.0,0.0,0.0,79,91,42,KelceTravis_890,0.0,0.0,97,71,0.0,0.0,77,20,0.0,71,45,0.0,0.0,14,10/5/89,0.0,Long Stride High and Tight,54000000,78,0.0,0.0,0.0,83,15,90,published,Kelce,0.0,87,42,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,0.0,15,53,32,0.0,97,5920,35,33,Chiefs,25440000,0.0,0.0,0.0,0.0,40,Travis Kelce,99,0.0,63,0.0,64,6,59,92,0.0,0.0,29,0.0,0.0,0.0,0.0,85,89,0.0,0.0,93,89,260,0.0,79,Travis,8,0.0,0.0,60,TE,0.0,0.0,0.0,0.0,86,65,0.0,91,47,0.0,0.0,12,84,0.0,0.0,0.0,20,week-12,0.0,64,74,72,77,Right,0.0,66,75,10,0.0,0.0,0.0,49,0.0,TE_VerticalThreat,0.0,66,0.0,0.0,0.0,9,86,31,890
Fresno State,0.0,98,0.0,0.0,0.0,63,98,44,AdamsDavante_10823,0.0,0.0,99,83,0.0,0.0,73,10,0.0,48,42,0.0,0.0,24,12/24/92,0.0,Default Stride Loose,39210000,63,0.0,0.0,0.0,92,26,99,published,Adams,0.0,17,22,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,15,10,30,0.0,96,6328,25,20,Packers,20300000,0.0,0.0,0.0,0.0,52,Davante Adams,99,0.0,17,0.0,45,45,25,92,0.0,0.0,6,0.0,0.0,0.0,0.0,98,92,0.0,0.0,99,93,215,0.0,93,Davante,7,0.0,0.0,15,WR,0.0,0.0,0.0,0.0,91,20,0.0,88,10,0.0,0.0,18,75,0.0,0.0,0.0,10,week-12,0.0,13,45,76,80,Right,0.0,38,92,25,0.0,0.0,0.0,6,0.0,WR_RouteRunner,0.0,12,0.0,0.0,0.0,20,92,28,10823
Pittsburgh,0.0,99,0.0,0.0,0.0,99,23,98,DonaldAaron_10852,0.0,0.0,42,25,0.0,0.0,73,97,0.0,45,93,0.0,0.0,29,5/23/91,0.0,Default Stride Loose,101892000,32,0.0,0.0,0.0,28,99,16,published,Donald,0.0,99,12,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,89,6,21,0.0,87,6394,25,15,Rams,40000000,0.0,0.0,0.0,0.0,97,Aaron Donald,99,0.0,45,0.0,20,10,23,49,0.0,0.0,6,0.0,0.0,0.0,0.0,9,90,0.0,0.0,47,98,280,0.0,5,Aaron,7,0.0,0.0,6,RE,0.0,0.0,0.0,0.0,82,45,0.0,93,6,0.0,0.0,25,30,0.0,0.0,0.0,99,week-12,0.0,45,93,48,17,Right,0.0,45,68,21,0.0,0.0,0.0,6,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,24,86,30,10852
Florida State,0.0,99,0.0,0.0,0.0,71,55,79,RamseyJalen_17538,0.0,0.0,80,69,0.0,0.0,73,41,0.0,34,76,0.0,0.0,99,10/24/94,0.0,Short Stride Default,71000000,42,0.0,0.0,0.0,78,99,36,published,Ramsey,0.0,5,34,0.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0.0,82,26,17,0.0,91,8185,18,17,Rams,43600000,0.0,0.0,0.0,0.0,50,Jalen Ramsey,99,0.0,34,0.0,27,80,22,72,0.0,0.0,16,0.0,0.0,0.0,0.0,24,94,0.0,0.0,64,86,208,0.0,12,Jalen,5,0.0,0.0,33,CB,0.0,0.0,0.0,0.0,92,33,0.0,86,24,0.0,0.0,99,57,0.0,0.0,0.0,35,week-12,0.0,33,65,71,68,Right,0.0,21,92,99,0.0,0.0,0.0,21,0.0,CB_MantoMan,0.0,34,0.0,0.0,0.0,24,91,26,17538
Notre Dame,0.0,97,0.0,0.0,0.0,95,15,48,MartinZack_12348,0.0,0.0,32,10,0.0,0.0,76,10,0.0,97,28,0.0,0.0,11,11/20/90,0.0,Default Stride Awkward,53440000,24,0.0,0.0,0.0,10,31,15,published,Martin,0.0,70,12,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,20,6,14,0.0,93,6511,9,14,Cowboys,39890000,0.0,0.0,0.0,0.0,27,Zack Martin,98,0.0,93,0.0,29,10,94,10,0.0,0.0,6,0.0,0.0,0.0,0.0,5,80,0.0,0.0,15,94,315,0.0,5,Zack,7,0.0,0.0,6,RG,0.0,0.0,0.0,0.0,69,97,0.0,96,6,0.0,0.0,9,10,0.0,0.0,0.0,10,week-12,0.0,96,93,40,5,Right,0.0,95,60,10,0.0,0.0,0.0,6,0.0,G_Power,0.0,96,0.0,0.0,0.0,11,64,30,12348
Alabama,0.0,99,0.0,0.0,0.0,87,47,41,HenryDerrick_17557,0.0,0.0,66,75,0.0,0.0,75,12,0.0,42,44,0.0,0.0,19,1/4/94,0.0,Default Stride High and Tight,25500000,93,0.0,0.0,0.0,86,20,56,published,Henry,0.0,22,29,0.0,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,33,29,20,0.0,98,8045,21,27,Titans,24500000,0.0,0.0,0.0,0.0,36,Derrick Henry,98,0.0,38,0.0,42,36,49,93,0.0,0.0,15,0.0,0.0,0.0,0.0,49,89,0.0,0.0,55,93,247,0.0,41,Derrick,5,0.0,0.0,40,HB,0.0,0.0,0.0,0.0,93,35,0.0,97,32,0.0,0.0,14,99,0.0,0.0,0.0,11,week-12,0.0,43,47,98,92,Right,0.0,62,79,16,0.0,0.0,0.0,23,0.0,HB_PowerBack,0.0,31,0.0,0.0,0.0,30,86,27,17557
Clemson,0.0,99,0.0,0.0,0.0,79,99,30,HopkinsDeAndre_506,0.0,0.0,99,83,0.0,0.0,73,32,0.0,54,52,0.0,0.0,35,6/6/92,0.0,Short Stride Loose,52670000,59,0.0,0.0,0.0,91,28,97,published,Hopkins,0.0,10,22,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,35,10,20,0.0,98,5873,20,23,Cardinals,41750000,0.0,0.0,0.0,0.0,45,DeAndre Hopkins,98,0.0,25,0.0,35,72,29,94,0.0,0.0,15,0.0,0.0,0.0,0.0,96,90,0.0,0.0,99,97,212,0.0,92,DeAndre,8,0.0,0.0,15,WR,0.0,0.0,0.0,0.0,90,37,0.0,97,15,0.0,0.0,32,81,0.0,0.0,0.0,30,week-12,0.0,27,49,72,86,Right,0.0,44,88,40,0.0,0.0,0.0,10,0.0,WR_Physical,0.0,35,0.0,0.0,0.0,7,92,29,506
Texas AM,0.0,98,0.0,0.0,0.0,96,21,97,GarrettMyles_12520,0.0,0.0,52,40,0.0,0.0,76,91,0.0,45,91,0.0,0.0,51,12/29/95,0.0,Long Stride Default,84270000,36,0.0,0.0,0.0,36,94,15,published,Garrett,0.0,95,12,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35,0.0,81,30,20,0.0,88,8560,20,16,Browns,65590000,0.0,0.0,0.0,0.0,89,Myles Garrett,98,0.0,45,0.0,55,10,17,39,0.0,0.0,10,0.0,0.0,0.0,0.0,8,90,0.0,0.0,25,87,272,0.0,4,Myles,4,0.0,0.0,31,RE,0.0,0.0,0.0,0.0,88,45,0.0,85,23,0.0,0.0,51,48,0.0,0.0,0.0,98,week-12,0.0,45,87,55,34,Right,0.0,45,71,44,0.0,0.0,0.0,27,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,5,83,25,12520
Stanford,0.0,94,0.0,0.0,0.0,72,72,44,McCaffreyChristian_12556,0.0,0.0,81,91,0.0,0.0,71,10,0.0,38,36,0.0,0.0,17,6/7/96,0.0,Short Stride High and Tight,46000000,59,0.0,0.0,0.0,93,28,81,published,McCaffrey,0.0,22,24,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,27,37,23,0.0,98,8655,29,17,Panthers,32030000,0.0,0.0,0.0,0.0,32,Christian McCaffrey,97,0.0,32,0.0,44,88,47,94,0.0,0.0,25,0.0,0.0,0.0,0.0,74,93,0.0,0.0,74,87,205,0.0,67,Christian,4,0.0,0.0,41,HB,0.0,0.0,0.0,0.0,92,22,-3.0,93,43,0.0,0.0,12,77,0.0,0.0,0.0,10,week-12,0.0,36,45,96,83,Right,0.0,67,94,15,0.0,0.0,0.0,30,0.0,HB_ReceivingBack,0.0,22,0.0,0.0,0.0,21,97,25,12556
South Carolina,0.0,98,0.0,0.0,0.0,70,62,73,GilmoreStephon_11436,0.0,0.0,76,53,0.0,0.0,73,44,0.0,35,67,0.0,0.0,96,9/19/90,0.0,Default,5770000,22,0.0,0.0,0.0,80,97,15,published,Gilmore,0.0,9,33,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,68,35,25,0.0,96,5184,30,30,Panthers,0,0.0,0.0,0.0,0.0,54,Stephon Gilmore,97,0.0,35,0.0,43,70,16,69,0.0,0.0,25,0.0,0.0,0.0,0.0,11,93,0.0,0.0,70,94,202,0.0,10,Stephon,9,0.0,0.0,39,CB,0.0,0.0,0.0,0.0,91,35,0.0,72,39,0.0,0.0,98,30,0.0,0.0,0.0,60,week-12,0.0,35,56,62,67,Right,0.0,35,95,97,0.0,0.0,0.0,32,0.0,CB_MantoMan,0.0,35,0.0,0.0,0.0,21,94,30,11436
