player_name,player_position,player_team,year,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Chad Johnson,WR,FA,2010,1,12,13,159,13.3,1,0,0,0.0,0,0.0,27.9,0.0
Hakeem Nicks,WR,FA,2010,1,4,8,75,18.8,3,0,0,0.0,0,0.0,27.5,0.0
Austin Collie,WR,FA,2010,1,11,12,163,14.8,1,0,0,0.0,0,0.0,25.8,0.0
Miles Austin,WR,FA,2010,1,10,11,146,14.6,1,0,0,0.0,0,0.0,25.6,0.0
Wes Welker,WR,FA,2010,1,8,11,64,8.0,2,0,0,0.0,0,0.0,22.4,0.0
Reggie Wayne,WR,FA,2010,1,7,10,99,14.1,1,0,0,0.0,0,0.0,19.4,0.0
Roddy White,WR,FA,2010,1,13,23,111,8.5,0,0,0,0.0,0,0.0,17.6,0.0
Mark Clayton,WR,FA,2010,1,10,16,119,11.9,0,0,0,0.0,0,0.0,16.9,0.0
Greg Jennings,WR,FA,2010,1,5,10,82,16.4,1,0,0,0.0,0,0.0,16.7,0.0
Steve Breaston,WR,FA,2010,1,7,7,132,18.9,0,0,0,0.0,0,0.0,16.7,0.0
Nate Washington,WR,FA,2010,1,3,4,88,29.3,1,0,0,0.0,0,0.0,16.3,0.0
Steve Smith,WR,FA,2010,1,5,9,75,15.0,1,0,0,0.0,0,0.0,16.0,0.0
Anquan Boldin,WR,FA,2010,1,7,10,110,15.7,0,0,0,0.0,0,0.0,14.5,0.0
Brandon Lloyd,WR,FA,2010,1,5,8,117,23.4,0,0,0,0.0,0,0.0,14.2,0.0
Hines Ward,WR,FA,2010,1,6,7,108,18.0,0,0,0,0.0,0,0.0,13.8,0.0
Eddie Royal,WR,FA,2010,1,8,10,98,12.3,0,0,0,0.0,0,0.0,13.8,0.0
Jeremy Maclin,WR,FA,2010,1,4,5,38,9.5,1,1,11,11.0,0,0.0,12.9,0.0
Mike Thomas,WR,FA,2010,1,6,7,89,14.8,0,0,0,0.0,0,0.0,11.9,0.0
Micheal Spurlock,WR,FA,2010,1,2,4,49,24.5,1,0,0,0.0,0,0.0,11.9,0.0
Larry Fitzgerald,WR,FA,2010,1,3,15,43,14.3,1,0,0,0.0,0,0.0,11.8,0.0
Mohamed Massaquoi,WR,FA,2010,1,2,6,46,23.0,1,0,0,0.0,0,0.0,11.6,0.0
Mike Williams,WR,FA,2010,1,5,9,30,6.0,1,0,0,0.0,0,0.0,11.5,0.0
Donald Driver,WR,FA,2010,1,5,7,30,6.0,1,0,0,0.0,0,0.0,11.5,0.0
Jabar Gaffney,WR,FA,2010,1,3,7,34,11.3,1,0,0,0.0,0,0.0,10.9,0.0
Devery Henderson,WR,FA,2010,1,2,4,38,19.0,1,0,0,0.0,0,0.0,10.8,0.0
Santana Moss,WR,FA,2010,1,6,9,77,12.8,0,0,0,0.0,0,0.0,10.7,0.0
Jordan Shipley,WR,FA,2010,1,5,7,82,16.4,0,0,0,0.0,0,0.0,10.7,0.0
Mario Manningham,WR,FA,2010,1,4,4,85,21.3,0,0,0,0.0,0,0.0,10.5,0.0
Roscoe Parrish,WR,FA,2010,1,2,3,35,17.5,1,0,0,0.0,0,0.0,10.5,0.0
Kevin Walter,WR,FA,2010,1,2,2,29,14.5,1,0,0,0.0,0,0.0,9.9,0.0
Danny Amendola,WR,FA,2010,1,6,9,67,11.2,0,0,0,0.0,0,0.0,9.7,0.0
Dez Bryant,WR,FA,2010,1,8,13,56,7.0,0,0,0,0.0,0,0.0,9.6,0.0
Devin Aromashodu,WR,FA,2010,1,5,10,71,14.2,0,0,0,0.0,0,0.0,9.6,0.0
Brandon Marshall,WR,FA,2010,1,8,13,53,6.6,0,0,0,0.0,0,0.0,9.3,0.0
Laurent Robinson,WR,FA,2010,1,3,9,18,6.0,1,0,0,0.0,0,0.0,9.3,0.0
