player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Sammy Watkins,WR,FA,1,9,11,198,22.0,3,0,0,0.0,0,0.0,42.3,0.0
DeSean Jackson,WR,FA,1,8,9,154,19.3,2,0,0,0.0,0,0.0,31.4,0.0
John Ross,WR,FA,1,7,12,158,22.6,2,0,0,0.0,0,0.0,31.3,0.0
Marquise Brown,WR,ARI,1,4,5,147,36.8,2,0,0,0.0,0,0.0,28.7,0.0
DeAndre Hopkins,WR,TEN,1,8,13,111,13.9,2,0,0,0.0,0,0.0,27.1,0.0
T.Y. Hilton,WR,FA,1,8,9,87,10.9,2,0,0,0.0,0,0.0,24.7,0.0
Phillip Dorsett II,WR,DEN,1,4,4,95,23.8,2,0,0,0.0,0,0.0,23.5,0.0
DJ Chark Jr.,WR,CAR,1,4,4,146,36.5,1,0,0,0.0,0,0.0,22.6,0.0
Keenan Allen,WR,LAC,1,8,10,123,15.4,1,0,0,0.0,0,0.0,22.3,0.0
John Brown,WR,FA,1,7,10,123,17.6,1,0,0,0.0,0,0.0,21.8,0.0
Larry Fitzgerald,WR,FA,1,8,13,113,14.1,1,0,0,0.0,0,0.0,21.3,0.0
Terry McLaurin,WR,WAS,1,5,7,125,25.0,1,0,0,0.0,0,0.0,21.0,0.0
Danny Amendola,WR,FA,1,7,13,104,14.9,1,0,0,0.0,0,0.0,19.9,0.0
Alshon Jeffery,WR,FA,1,5,7,49,9.8,1,1,2,2.0,1,0.0,19.6,0.0
Amari Cooper,WR,CLE,1,6,9,106,17.7,1,0,0,0.0,0,0.0,19.6,0.0
Tyrell Williams,WR,FA,1,6,7,105,17.5,1,0,0,0.0,0,0.0,19.5,0.0
Michael Gallup,WR,DAL,1,7,7,158,22.6,0,0,0,0.0,0,0.0,19.3,0.0
Chris Conley,WR,SF,1,6,7,97,16.2,1,0,0,0.0,0,0.0,18.7,0.0
Jamison Crowder,WR,WAS,1,14,17,99,7.1,0,1,4,4.0,0,0.0,17.3,0.0
Michael Thomas,WR,NO,1,10,13,123,12.3,0,0,0,0.0,0,0.0,17.3,0.0
Emmanuel Sanders,WR,FA,1,5,7,86,17.2,1,0,0,0.0,0,0.0,17.1,0.0
Courtland Sutton,WR,DEN,1,7,8,120,17.1,0,0,0,0.0,0,0.0,15.5,0.0
Randall Cobb,WR,NYJ,1,4,5,69,17.3,1,0,0,0.0,0,0.0,14.9,0.0
Josh Gordon,WR,FA,1,3,4,73,24.3,1,0,0,0.0,0,0.0,14.8,0.0
Calvin Ridley,WR,JAC,1,4,6,64,16.0,1,0,0,0.0,0,0.0,14.4,0.0
Allen Robinson II,WR,PIT,1,7,13,102,14.6,0,0,0,0.0,0,0.0,13.7,0.0
Ted Ginn Jr.,WR,FA,1,7,7,101,14.4,0,0,0,0.0,0,0.0,13.6,0.0
Julian Edelman,WR,FA,1,6,11,83,13.8,0,1,8,8.0,0,0.0,13.4,0.0
Chris Godwin,WR,TB,1,3,6,53,17.7,1,0,0,0.0,0,0.0,12.8,0.0
Robert Woods,WR,HOU,1,8,13,70,8.8,0,2,16,8.0,0,0.0,12.6,0.0
Kenny Golladay,WR,FA,1,4,9,42,10.5,1,0,0,0.0,0,0.0,12.2,0.0
Julio Jones,WR,FA,1,6,11,31,5.2,1,0,0,0.0,0,0.0,12.1,0.0
Adam Thielen,WR,CAR,1,3,3,43,14.3,1,0,0,0.0,0,0.0,11.8,0.0
Dede Westbrook,WR,FA,1,5,6,30,6.0,1,1,2,2.0,0,0.0,11.7,0.0
A.J. Brown,WR,PHI,1,3,4,100,33.3,0,0,0,0.0,0,0.0,11.5,0.0
Trey Quinn,WR,FA,1,4,6,33,8.3,1,0,0,0.0,0,0.0,11.3,0.0
Kenny Stills,WR,FA,1,3,3,37,12.3,1,0,0,0.0,0,0.0,11.2,0.0
Willie Snead IV,WR,SF,1,2,3,41,20.5,1,0,0,0.0,0,0.0,11.1,0.0
DK Metcalf,WR,SEA,1,4,6,89,22.3,0,0,0,0.0,0,0.0,10.9,0.0
Tyler Lockett,WR,SEA,1,1,2,44,44.0,1,0,0,0.0,0,0.0,10.9,0.0
JuJu Smith-Schuster,WR,NE,1,6,8,78,13.0,0,0,0,0.0,0,0.0,10.8,0.0
Odell Beckham Jr.,WR,BAL,1,7,11,71,10.1,0,0,0,0.0,0,0.0,10.6,0.0
Richie James Jr.,WR,KC,1,1,2,39,39.0,1,0,0,0.0,0,0.0,10.4,0.0
Tyler Boyd,WR,CIN,1,8,12,60,7.5,0,1,3,3.0,0,0.0,10.3,0.0
Preston Williams,WR,FA,1,3,5,24,8.0,1,0,0,0.0,0,0.0,9.9,0.0
Jarvis Landry,WR,FA,1,4,7,67,16.8,0,1,10,10.0,0,0.0,9.7,0.0
Tre'Quan Smith,WR,DEN,1,2,2,26,13.0,1,0,0,0.0,0,0.0,9.6,0.0
DJ Moore,WR,CHI,1,7,10,76,10.9,0,0,0,0.0,0,0.0,9.1,0.0
DeVante Parker,WR,NE,1,3,7,75,25.0,0,0,0,0.0,0,0.0,9.0,0.0
Cody Latimer,WR,FA,1,3,7,74,24.7,0,0,0,0.0,0,0.0,8.9,0.0
Christian Kirk,WR,JAC,1,4,12,32,8.0,0,1,12,12.0,0,0.0,8.4,0.0
Mohamed Sanu Sr.,WR,FA,1,5,6,57,11.4,0,0,0,0.0,0,0.0,8.2,0.0
Cooper Kupp,WR,LAR,1,7,10,46,6.6,0,0,0,0.0,0,0.0,8.1,0.0
Marvin Jones Jr.,WR,DET,1,4,4,56,14.0,0,1,4,4.0,0,0.0,8.0,0.0
William Fuller V,WR,FA,1,2,3,69,34.5,0,0,0,0.0,0,0.0,7.9,0.0
Marquez Valdes-Scantling,WR,KC,1,4,6,52,13.0,0,1,0,0.0,0,0.0,7.2,0.0
Sterling Shepard,WR,NYG,1,6,7,42,7.0,0,0,0,0.0,0,0.0,7.2,0.0
