year,week,college,signingBonus_diff,awareness_rating,shortRouteRunning_diff,press_diff,carrying_diff,strength_rating,catchInTraffic_rating,pursuit_rating,plyrAssetname,breakSack_diff,plyrPortrait_diff,catching_rating,spinMove_rating,acceleration_diff,breakTackle_diff,height,finesseMoves_rating,strength_diff,runBlock_rating,tackle_rating,runBlock_diff,kickPower_diff,zoneCoverage_rating,plyrBirthdate,awareness_diff,runningStyle_rating,totalSalary,trucking_rating,toughness_diff,hitPower_diff,tackle_diff,jukeMove_rating,playRecognition_rating,shortRouteRunning_rating,status,lastName,jerseyNum_diff,jerseyNum,breakSack_rating,passBlockFinesse_diff,jumping_rating,throwAccuracyDeep_diff,stamina_diff,throwAccuracyShort_diff,powerMoves_diff,throwOnTheRun_diff,zoneCoverage_diff,jukeMove_diff,speed_diff,release_rating,agility_diff,hitPower_rating,throwAccuracyMid_rating,kickAccuracy_rating,impactBlocking_diff,stamina_rating,plyrPortrait,kickPower_rating,throwUnderPressure_rating,team,signingBonus,height_diff,playAction_diff,throwUnderPressure_diff,changeOfDirection_diff,blockShedding_rating,fullNameForSearch,overall_rating,deepRouteRunning_diff,passBlockFinesse_rating,runBlockFinesse_diff,throwPower_rating,kickReturn_rating,leadBlock_rating,bCVision_rating,primaryKey_diff,mediumRouteRunning_diff,playAction_rating,totalSalary_diff,teamId_diff,leadBlock_diff,catchInTraffic_diff,mediumRouteRunning_rating,acceleration_rating,spinMove_diff,yearsPro_diff,spectacularCatch_rating,injury_rating,weight,playRecognition_diff,deepRouteRunning_rating,firstName,yearsPro,manCoverage_diff,catching_diff,throwAccuracyShort_rating,position,overall_diff,weight_diff,bCVision_diff,throwPower_diff,speed_rating,runBlockPower_rating,injury_diff,toughness_rating,throwOnTheRun_rating,jumping_diff,spectacularCatch_diff,manCoverage_rating,stiffArm_rating,throwAccuracyMid_diff,trucking_diff,passBlock_diff,powerMoves_rating,iteration,stiffArm_diff,passBlockPower_rating,impactBlocking_rating,carrying_rating,breakTackle_rating,plyrHandedness,kickReturn_diff,passBlock_rating,changeOfDirection_rating,press_rating,passBlockPower_diff,pursuit_diff,release_diff,throwAccuracyDeep_rating,age_diff,archetype,runBlockPower_diff,runBlockFinesse_rating,finesseMoves_diff,blockShedding_diff,kickAccuracy_diff,teamId,agility_rating,age,primaryKey
2024,9,Notre Dame,0.0,99,0.0,0.0,0.0,97,15,48,MartinZack_12348,0.0,0.0,32,10,0.0,0.0,76,10,0.0,98,28,0.0,0.0,11,11/20/1990,0.0,Default Stride Awkward,13960000,24,0.0,0.0,0.0,10,31,15,published,Martin,0.0,70,12,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,20,6,14,0.0,96,6511,9,14,Cowboys,26290000,0.0,0.0,0.0,0.0,27,Zack Martin,99,0.0,93,0.0,29,10,94,10,0.0,0.0,6,0.0,0.0,0.0,0.0,5,71,0.0,0.0,15,98,315,0.0,5,Zack,9,0.0,0.0,6,RG,0.0,0.0,0.0,0.0,69,98,0.0,96,6,0.0,0.0,9,10,0.0,0.0,0.0,10,week-9,0.0,96,93,40,5,Right,0.0,95,60,10,0.0,0.0,0.0,6,0.0,G_Power,0.0,97,0.0,0.0,0.0,11,64,32,12348
2024,9,Pittsburgh,0.0,99,0.0,0.0,0.0,99,23,98,DonaldAaron_10852,0.0,0.0,42,25,0.0,0.0,73,95,0.0,45,93,0.0,0.0,29,5/23/1991,0.0,Default Stride Loose,41670000,32,0.0,0.0,0.0,28,99,16,published,Donald,0.0,99,12,0.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,89,6,21,0.0,88,6394,25,15,Rams,45500000,0.0,0.0,0.0,0.0,97,Aaron Donald,99,0.0,45,0.0,20,10,23,49,0.0,0.0,6,0.0,0.0,0.0,0.0,9,89,0.0,0.0,47,97,280,0.0,5,Aaron,9,0.0,0.0,6,RE,0.0,0.0,0.0,0.0,81,45,0.0,98,6,0.0,0.0,25,30,0.0,0.0,0.0,99,week-9,0.0,45,93,48,17,Right,0.0,45,68,21,0.0,0.0,0.0,6,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,24,85,32,10852
2024,9,Cincinnati,0.0,99,0.0,0.0,0.0,79,90,42,KelceTravis_890,0.0,0.0,98,71,0.0,0.0,77,20,0.0,69,45,0.0,0.0,14,10/5/1989,0.0,Long Stride High and Tight,16390000,78,0.0,0.0,0.0,83,15,88,published,Kelce,0.0,87,42,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,0.0,15,53,32,0.0,97,5920,35,33,Chiefs,68600000,0.0,0.0,0.0,0.0,40,Travis Kelce,99,0.0,63,0.0,70,6,59,92,0.0,0.0,29,0.0,0.0,0.0,0.0,85,88,0.0,0.0,93,97,250,0.0,79,Travis,10,0.0,1.0,64,TE,0.0,0.0,0.0,0.0,86,65,0.0,94,47,0.0,0.0,12,85,0.0,0.0,0.0,20,week-9,0.0,64,74,72,78,Right,0.0,66,75,10,0.0,0.0,0.0,49,0.0,TE_VerticalThreat,0.0,66,0.0,0.0,0.0,9,86,33,890
2024,9,LSU,0.0,99,0.0,0.0,0.0,64,98,41,JeffersonJustin_20961,0.0,0.0,99,80,0.0,0.0,73,24,0.0,51,36,0.0,0.0,26,6/16/1999,0.0,Long Stride Loose,2500000,61,0.0,0.0,0.0,93,19,98,published,Jefferson,0.0,18,23,0.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.0,43,30,12,0.0,98,385,18,29,Vikings,30370000,0.0,0.0,0.0,0.0,24,Justin Jefferson,99,0.0,13,0.0,43,61,34,88,0.0,0.0,24,0.0,0.0,0.0,0.0,98,93,0.0,0.0,99,94,195,0.0,97,Justin,3,0.0,0.0,35,WR,0.0,0.0,0.0,0.0,92,29,0.0,87,33,0.0,0.0,18,75,0.0,0.0,0.0,18,week-9,0.0,18,52,75,81,Right,0.0,25,96,18,0.0,0.0,0.0,24,0.0,WR_DeepThreat,0.0,27,0.0,0.0,0.0,31,93,24,20961
2024,9,Texas Tech,0.0,98,0.0,0.0,0.0,70,32,37,MahomesIIPatrick_12635,0.0,0.0,59,71,0.0,0.0,74,10,0.0,23,26,0.0,0.0,19,9/17/1995,0.0,Default,166760000,51,0.0,0.0,0.0,73,22,27,published,Mahomes,0.0,15,89,0.0,74,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,18,94,10,0.0,97,8648,20,97,Chiefs,148880000,0.0,0.0,0.0,0.0,24,Patrick Mahomes,99,0.0,10,0.0,97,10,23,86,0.0,0.0,96,0.0,0.0,0.0,0.0,17,87,0.0,0.0,30,94,225,0.0,15,Patrick,6,0.0,0.0,98,QB,0.0,0.0,0.0,0.0,84,10,0.0,99,98,0.0,0.0,17,57,0.0,0.0,0.0,10,week-9,0.0,10,27,65,75,Right,0.0,10,88,10,0.0,0.0,0.0,91,0.0,QB_Improviser,0.0,10,0.0,0.0,0.0,9,87,27,12635
2024,9,West Alabama,0.0,97,0.0,0.0,-2.0,64,87,33,HillTyreek_17838,0.0,0.0,94,86,0.0,0.0,70,10,0.0,59,27,0.0,0.0,20,3/1/1994,0.0,Short Stride Default,89520000,37,0.0,0.0,0.0,98,26,94,published,Hill,0.0,10,28,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,25,28,15,0.0,92,8052,13,24,Dolphins,51400000,0.0,0.0,0.0,0.0,21,Tyreek Hill,99,0.0,19,0.0,41,92,20,97,0.0,0.0,19,0.0,0.0,0.0,0.0,95,99,0.0,0.0,91,91,191,0.0,98,Tyreek,7,0.0,0.0,31,WR,0.0,0.0,0.0,0.0,99,17,0.0,93,28,0.0,0.0,10,45,0.0,0.0,0.0,10,week-9,0.0,19,40,77,85,Left,0.0,33,99,30,0.0,0.0,0.0,23,0.0,WR_DeepThreat,0.0,12,0.0,0.0,0.0,12,98,29,17838
2024,9,Texas AM,0.0,95,0.0,0.0,0.0,96,21,97,GarrettMyles_12520,0.0,0.0,52,40,0.0,0.0,76,91,0.0,45,92,0.0,0.0,51,12/29/1995,0.0,Long Stride Default,63110000,36,0.0,0.0,0.0,36,91,15,published,Garrett,0.0,95,12,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,84,30,20,0.0,88,8560,20,16,Browns,81750000,0.0,0.0,0.0,0.0,90,Myles Garrett,98,0.0,45,0.0,55,10,17,39,0.0,0.0,10,0.0,0.0,0.0,0.0,8,91,0.0,0.0,25,88,272,0.0,4,Myles,6,0.0,0.0,31,RE,0.0,0.0,0.0,0.0,87,45,0.0,87,23,0.0,0.0,51,48,0.0,0.0,0.0,98,week-9,0.0,45,87,55,34,Right,0.0,45,71,44,0.0,0.0,0.0,27,0.0,DE_PowerRusher,0.0,45,0.0,0.0,0.0,5,86,27,12520
2024,9,Ohio State,0.0,98,0.0,0.0,0.0,93,27,95,BosaNick_20565,0.0,0.0,45,32,0.0,0.0,76,98,0.0,45,96,0.0,0.0,42,10/23/1997,0.0,Long Stride Loose,89000000,31,0.0,0.0,0.0,38,96,17,published,Bosa,0.0,97,12,0.0,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,84,6,17,0.0,87,9390,17,14,49ers,98860000,0.0,0.0,0.0,0.0,85,Nick Bosa,98,0.0,45,0.0,25,10,18,30,0.0,0.0,6,0.0,0.0,0.0,0.0,10,92,0.0,0.0,23,87,266,0.0,6,Nick,4,0.0,0.0,6,RE,0.0,0.0,0.0,0.0,79,45,0.0,90,6,0.0,0.0,30,34,0.0,0.0,0.0,94,week-9,0.0,44,83,38,21,Right,0.0,45,71,31,0.0,0.0,0.0,6,0.0,DE_SmallerSpeedRusher,0.0,45,0.0,0.0,0.0,15,87,25,20565
2024,9,Stanford,0.0,97,0.0,0.0,0.0,72,72,44,McCaffreyChristian_12556,0.0,0.0,83,85,0.0,0.0,71,10,0.0,38,36,0.0,0.0,17,6/7/1996,0.0,Short Stride High and Tight,31990000,65,0.0,0.0,0.0,94,27,82,published,McCaffrey,0.0,23,38,0.0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,0.0,27,41,23,0.0,93,8655,29,37,49ers,600000,0.0,0.0,0.0,0.0,32,Christian McCaffrey,98,0.0,32,0.0,52,88,47,96,0.0,0.0,31,0.0,0.0,0.0,0.0,74,93,0.0,0.0,75,87,205,0.0,67,Christian,6,0.0,0.0,45,HB,0.0,0.0,0.0,0.0,91,22,0.0,93,47,0.0,0.0,12,80,0.0,0.0,0.0,10,week-9,0.0,36,45,96,89,Right,0.0,63,93,15,0.0,0.0,0.0,33,0.0,HB_ReceivingBack,0.0,22,0.0,0.0,0.0,15,96,27,12556
2024,9,Oklahoma,0.0,99,0.0,0.0,0.0,98,15,33,WilliamsTrent_9800,0.0,0.0,20,10,0.0,0.0,77,10,0.0,96,39,0.0,0.0,14,7/19/1988,0.0,Default Stride Awkward,79320000,10,0.0,0.0,0.0,10,19,15,published,Williams,0.0,71,12,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,60,6,10,0.0,91,3231,11,14,49ers,59600000,0.0,0.0,0.0,0.0,32,Trent Williams,98,0.0,90,0.0,12,10,99,10,0.0,0.0,6,0.0,0.0,0.0,0.0,5,73,0.0,0.0,51,88,320,0.0,5,Trent,13,0.0,0.0,6,LT,0.0,0.0,0.0,0.0,75,96,0.0,98,6,0.0,0.0,10,10,0.0,0.0,0.0,10,week-9,0.0,96,99,40,7,Right,0.0,93,58,10,0.0,0.0,0.0,6,0.0,OT_Power,0.0,97,0.0,0.0,0.0,15,73,35,9800
