data_source,player_id,player_name,player_position,week,standard_projected_points,half_ppr_projected_points,ppr_projected_points
ESPN,3925357,Calvin Ridley,WR,1,,11.71,
ESPN,4426515,Puka Nacua,WR,1,,6.84,
ESPN,4047365,Josh Jacobs,RB,1,,14.94,
ESPN,2576414,Raheem Mostert,RB,1,,11.63,
ESPN,4360248,Kyle Pitts,TE,1,,8.35,
ESPN,15835,Zach Ertz,TE,1,,4.92,
ESPN,3925357,Calvin Ridley,WR,2,,13.95,
ESPN,4426515,Puka Nacua,WR,2,,9.78,
ESPN,4047365,Josh Jacobs,RB,2,,13.93,
ESPN,2576414,Raheem Mostert,RB,2,,11.34,
ESPN,4360248,Kyle Pitts,TE,2,,7.57,
ESPN,15835,Zach Ertz,TE,2,,7.0,
ESPN,3925357,Calvin Ridley,WR,3,,12.39,
ESPN,4426515,Puka Nacua,WR,3,,13.19,
ESPN,4047365,Josh Jacobs,RB,3,,15.05,
ESPN,2576414,Raheem Mostert,RB,3,,13.17,
ESPN,4360248,Kyle Pitts,TE,3,,7.42,
ESPN,15835,Zach Ertz,TE,3,,7.13,
ESPN,3925357,Calvin Ridley,WR,4,,11.66,
ESPN,4426515,Puka Nacua,WR,4,,11.67,
ESPN,4047365,Josh Jacobs,RB,4,,13.44,
ESPN,2576414,Raheem Mostert,RB,4,,12.86,
ESPN,4360248,Kyle Pitts,TE,4,,7.59,
ESPN,15835,Zach Ertz,TE,4,,7.22,
Sleeper,9493,Puka Nacua,WR,1,4.27,5.63,7.0
Sleeper,7553,Kyle Pitts,TE,1,6.42,8.33,10.23
Sleeper,5850,Josh Jacobs,RB,1,13.06,14.34,15.61
Sleeper,4981,Calvin Ridley,WR,1,9.16,11.66,14.15
Sleeper,2749,Raheem Mostert,RB,1,11.22,12.23,13.24
Sleeper,1339,Zach Ertz,TE,1,0.91,1.22,1.53
Sleeper,9493,Puka Nacua,WR,2,6.0,8.25,10.51
Sleeper,7553,Kyle Pitts,TE,2,5.65,7.33,9.01
Sleeper,5850,Josh Jacobs,RB,2,12.64,13.89,15.14
Sleeper,4981,Calvin Ridley,WR,2,10.48,13.15,15.83
Sleeper,2749,Raheem Mostert,RB,2,9.43,10.25,11.07
Sleeper,1339,Zach Ertz,TE,2,4.23,5.88,7.52
