player_name,player_position,player_team,week,receptions,targets,receiving_yards,receiving_yards_per_reception,receiving_touchdowns,rushing_attempts,rushing_yards,rushing_yards_per_attempt,rushing_touchdowns,standard_points,half_ppr_points,ppr_points
Puka Nacua,WR,LAR,1,10,15,119,11.9,0,0,0,0.0,0,11.9,16.9,21.9
Kyle Pitts,TE,ATL,1,2,3,44,22.0,0,0,0,0.0,0,4.4,5.4,6.4
Josh Jacobs,RB,LV,1,2,3,23,11.5,0,19,48,2.53,0,7.1,8.1,9.1
Calvin Ridley,WR,JAC,1,8,11,101,12.63,1,0,0,0.0,0,16.1,20.1,24.1
Raheem Mostert,RB,MIA,1,2,2,13,6.5,0,10,37,3.7,1,11.0,12.0,13.0
Zach Ertz,TE,ARI,1,6,10,21,3.5,0,0,0,0.0,0,2.1,5.1,8.1
Puka Nacua,WR,LAR,2,15,20,147,9.8,0,2,4,2.0,0,15.1,22.6,30.1
Kyle Pitts,TE,ATL,2,2,5,15,7.5,0,0,0,0.0,0,1.5,2.5,3.5
Josh Jacobs,RB,LV,2,5,6,51,10.2,0,9,-2,-0.22,0,4.9,7.4,9.9
Calvin Ridley,WR,JAC,2,2,8,32,16.0,0,0,0,0.0,0,3.2,4.2,5.2
Raheem Mostert,RB,MIA,2,1,1,6,6.0,0,18,121,6.72,2,24.7,25.2,25.7
Zach Ertz,TE,ARI,2,6,8,56,9.33,0,0,0,0.0,0,5.6,8.6,11.6
Puka Nacua,WR,LAR,3,5,7,72,14.4,0,0,0,0.0,0,7.2,9.7,12.2
Kyle Pitts,TE,ATL,3,5,9,41,8.2,0,1,-4,-4.0,0,3.7,6.2,8.7
Josh Jacobs,RB,LV,3,3,5,18,6.0,0,17,62,3.65,0,8.0,9.5,11.0
Calvin Ridley,WR,JAC,3,3,7,40,13.33,0,0,0,0.0,0,4.0,5.5,7.0
Raheem Mostert,RB,MIA,3,7,7,60,8.57,1,13,82,6.31,3,38.2,41.7,45.2
Zach Ertz,TE,ARI,3,2,2,6,3.0,0,0,0,0.0,0,0.6,1.6,2.6
Puka Nacua,WR,LAR,4,9,10,163,18.11,1,0,0,0.0,0,22.3,26.8,31.3
Kyle Pitts,TE,ATL,4,2,4,21,10.5,0,0,0,0.0,0,2.1,3.1,4.1
Josh Jacobs,RB,LV,4,8,11,81,10.13,0,17,58,3.41,1,19.9,23.9,27.9
Calvin Ridley,WR,JAC,4,2,2,38,19.0,1,0,0,0.0,0,9.8,10.8,11.8
Raheem Mostert,RB,MIA,4,3,5,36,12.0,0,7,9,1.29,0,2.5,4.0,5.5
Zach Ertz,TE,ARI,4,6,10,53,8.83,0,0,0,0.0,0,5.3,8.3,11.3
Puka Nacua,WR,LAR,5,7,11,71,10.14,1,0,0,0.0,0,13.1,16.6,20.1
Kyle Pitts,TE,ATL,5,7,11,87,12.43,0,0,0,0.0,0,8.7,12.2,15.7
Josh Jacobs,RB,LV,5,5,5,20,4.0,0,20,69,3.45,1,14.9,17.4,19.9
Calvin Ridley,WR,JAC,5,7,8,122,17.43,0,2,14,7.0,0,13.6,17.1,20.6
Raheem Mostert,RB,MIA,5,2,2,13,6.5,0,10,65,6.5,1,13.8,14.8,15.8
Zach Ertz,TE,ARI,5,2,4,10,5.0,1,0,0,0.0,0,7.0,8.0,9.0
Tyreek Hill,WR,MIA,1,11,15,215,19.5,2,0,0,0.0,0,0.0,39.0,0.0
Brandon Aiyuk,WR,SF,1,8,8,129,16.1,2,0,0,0.0,0,0.0,28.9,0.0
Jakobi Meyers,WR,LV,1,9,10,81,9.0,2,0,0,0.0,0,0.0,24.6,0.0
Kendrick Bourne,WR,NE,1,6,11,64,10.7,2,0,0,0.0,0,0.0,21.4,0.0
Stefon Diggs,WR,BUF,1,10,13,102,10.2,1,0,0,0.0,0,0.0,21.2,0.0
Calvin Ridley,WR,JAC,1,8,11,101,12.6,1,0,0,0.0,0,0.0,20.1,0.0
Michael Pittman Jr.,WR,IND,1,8,11,97,12.1,1,0,0,0.0,0,0.0,19.7,0.0
Justin Jefferson,WR,MIN,1,9,12,150,16.7,0,0,0,0.0,0,0.0,19.5,0.0
Puka Nacua,WR,LAR,1,10,15,119,11.9,0,0,0,0.0,0,0.0,16.9,0.0
Romeo Doubs,WR,GB,1,4,5,26,6.5,2,0,0,0.0,0,0.0,16.6,0.0
Rashid Shaheed,WR,NO,1,5,6,89,17.8,1,2,11,5.5,0,0.0,16.5,0.0
Amon-Ra St. Brown,WR,DET,1,6,9,71,11.8,1,0,0,0.0,0,0.0,16.1,0.0
Mike Evans,WR,TB,1,6,10,66,11.0,1,0,0,0.0,0,0.0,15.6,0.0
Chris Olave,WR,NO,1,8,10,112,14.0,0,0,0,0.0,0,0.0,15.2,0.0
Tutu Atwell,WR,LAR,1,6,8,119,19.8,0,0,0,0.0,0,0.0,14.9,0.0
DeVonta Smith,WR,PHI,1,7,10,47,6.7,1,0,0,0.0,0,0.0,14.2,0.0
Jordan Addison,WR,MIN,1,4,6,61,15.3,1,0,0,0.0,0,0.0,14.1,0.0
Zay Jones,WR,JAC,1,5,7,55,11.0,1,0,0,0.0,0,0.0,14.0,0.0
Darnell Mooney,WR,CHI,1,4,7,53,13.3,1,0,0,0.0,0,0.0,13.3,0.0
Zay Flowers,WR,BAL,1,9,10,78,8.7,0,2,9,4.5,0,0.0,13.2,0.0
DK Metcalf,WR,SEA,1,3,5,47,15.7,1,0,0,0.0,0,0.0,12.2,0.0
Garrett Wilson,WR,NYJ,1,5,5,34,6.8,1,0,0,0.0,0,0.0,11.9,0.0
River Cracraft,WR,MIA,1,3,5,40,13.3,1,0,0,0.0,0,0.0,11.5,0.0
A.J. Brown,WR,PHI,1,7,10,79,11.3,0,0,0,0.0,0,0.0,11.4,0.0
Keenan Allen,WR,LAC,1,6,9,76,12.7,0,2,6,3.0,0,0.0,11.2,0.0
Courtland Sutton,WR,DEN,1,4,5,32,8.0,1,0,0,0.0,0,0.0,11.2,0.0
Nico Collins,WR,HOU,1,6,11,80,13.3,0,0,0,0.0,0,0.0,11.0,0.0
Rashee Rice,WR,KC,1,3,5,29,9.7,1,1,-3,-3.0,0,0.0,10.1,0.0
Josh Reynolds,WR,DET,1,4,7,80,20.0,0,0,0,0.0,0,0.0,10.0,0.0
DeAndre Hopkins,WR,TEN,1,7,13,65,9.3,0,0,0,0.0,0,0.0,10.0,0.0
Jaylen Waddle,WR,MIA,1,4,5,78,19.5,0,0,0,0.0,0,0.0,9.8,0.0
CeeDee Lamb,WR,DAL,1,4,4,77,19.3,0,0,0,0.0,0,0.0,9.7,0.0
Davante Adams,WR,LV,1,6,9,66,11.0,0,0,0,0.0,0,0.0,9.6,0.0
KaVontae Turpin,WR,DAL,1,2,3,11,5.5,0,3,14,4.7,1,0.0,9.5,0.0
Allen Robinson II,WR,PIT,1,5,8,64,12.8,0,0,0,0.0,0,0.0,8.9,0.0
Deebo Samuel,WR,SF,1,5,7,55,11.0,0,2,8,4.0,0,0.0,8.8,0.0
Robert Woods,WR,HOU,1,6,10,57,9.5,0,0,0,0.0,0,0.0,8.7,0.0
Michael Thomas,WR,NO,1,5,8,61,12.2,0,0,0,0.0,0,0.0,8.6,0.0
Curtis Samuel,WR,WAS,1,5,5,54,10.8,0,1,6,6.0,0,0.0,8.5,0.0
Lil'Jordan Humphrey,WR,FA,1,2,2,11,5.5,1,0,0,0.0,0,0.0,8.1,0.0
Trey Palmer,WR,TB,1,2,3,8,4.0,1,0,0,0.0,0,0.0,7.8,0.0
Nick Westbrook-Ikhine,WR,TEN,1,4,7,58,14.5,0,0,0,0.0,0,0.0,7.8,0.0
Elijah Moore,WR,CLE,1,3,7,43,14.3,0,2,19,9.5,0,0.0,7.7,0.0
Chris Godwin,WR,TB,1,5,6,51,10.2,0,0,0,0.0,0,0.0,7.6,0.0
Marquise Brown,WR,ARI,1,3,5,28,9.3,0,1,29,29.0,0,0.0,7.2,0.0
Calvin Austin III,WR,PIT,1,6,6,37,6.2,0,0,0,0.0,0,0.0,6.7,0.0
Ja'Marr Chase,WR,CIN,1,5,9,39,7.8,0,1,2,2.0,0,0.0,6.6,0.0
Jahan Dotson,WR,WAS,1,5,7,40,8.0,0,0,0,0.0,0,0.0,6.5,0.0
Mike Williams,WR,LAC,1,4,5,45,11.3,0,0,0,0.0,0,0.0,6.5,0.0
Diontae Johnson,WR,PIT,1,3,6,48,16.0,0,0,0,0.0,0,0.0,6.3,0.0
George Pickens,WR,PIT,1,5,7,36,7.2,0,0,0,0.0,0,0.0,6.1,0.0
Xavier Gipson,WR,NYJ,1,0,0,0,0.0,0,0,0,0.0,0,0.0,6.0,0.0
Demario Douglas,WR,NE,1,4,7,40,10.0,0,0,0,0.0,0,0.0,6.0,0.0
Rondale Moore,WR,ARI,1,3,3,33,11.0,0,2,12,6.0,0,0.0,6.0,0.0
Marquez Valdes-Scantling,WR,KC,1,2,2,48,24.0,0,0,0,0.0,0,0.0,5.8,0.0
Braxton Berrios,WR,MIA,1,3,5,42,14.0,0,0,0,0.0,0,0.0,5.7,0.0
Jayden Reed,WR,GB,1,2,5,48,24.0,0,1,-2,-2.0,0,0.0,5.6,0.0
Allen Lazard,WR,NYJ,1,2,4,46,23.0,0,0,0,0.0,0,0.0,5.6,0.0
Justin Watson,WR,KC,1,2,4,45,22.5,0,0,0,0.0,0,0.0,5.5,0.0
JuJu Smith-Schuster,WR,NE,1,4,7,33,8.3,0,0,0,0.0,0,0.0,5.3,0.0
Amari Cooper,WR,CLE,1,3,7,37,12.3,0,0,0,0.0,0,0.0,5.2,0.0
Rashod Bateman,WR,BAL,1,3,3,35,11.7,0,0,0,0.0,0,0.0,5.0,0.0
Tank Dell,WR,HOU,1,3,4,34,11.3,0,0,0,0.0,0,0.0,4.9,0.0
Odell Beckham Jr.,WR,BAL,1,2,3,37,18.5,0,0,0,0.0,0,0.0,4.7,0.0
Mack Hollins,WR,ATL,1,3,4,31,10.3,0,0,0,0.0,0,0.0,4.6,0.0
K.J. Osborn,WR,MIN,1,3,6,31,10.3,0,0,0,0.0,0,0.0,4.6,0.0
Josh Downs,WR,IND,1,3,7,30,10.0,0,0,0,0.0,0,0.0,4.5,0.0
Van Jefferson,WR,ATL,1,4,5,24,6.0,0,0,0,0.0,0,0.0,4.4,0.0
Gabe Davis,WR,BUF,1,2,4,32,16.0,0,0,0,0.0,0,0.0,4.2,0.0
Terry McLaurin,WR,WAS,1,2,4,31,15.5,0,0,0,0.0,0,0.0,4.1,0.0
Brandon Johnson,WR,DEN,1,2,3,31,15.5,0,0,0,0.0,0,0.0,4.1,0.0
Treylon Burks,WR,TEN,1,2,3,18,9.0,0,1,9,9.0,0,0.0,3.7,0.0
DJ Moore,WR,CHI,1,2,2,25,12.5,0,0,0,0.0,0,0.0,3.5,0.0
Noah Brown,WR,HOU,1,3,4,20,6.7,0,1,-1,-1.0,0,0.0,3.4,0.0
Terrace Marshall Jr.,WR,CAR,1,2,6,23,11.5,0,0,0,0.0,0,0.0,3.3,0.0
Brandin Cooks,WR,DAL,1,2,4,22,11.0,0,0,0,0.0,0,0.0,3.2,0.0
Laviska Shenault Jr.,WR,CAR,1,2,2,16,8.0,0,2,5,2.5,0,0.0,3.1,0.0
Darius Slayton,WR,NYG,1,3,5,15,5.0,0,0,0,0.0,0,0.0,3.0,0.0
Michael Wilson,WR,ARI,1,2,4,19,9.5,0,0,0,0.0,0,0.0,2.9,0.0
Deonte Harty,WR,BUF,1,3,4,9,3.0,0,1,4,4.0,0,0.0,2.8,0.0
