full_name,abbr
'Packers','GB'
'Rams','LAR'
'Chiefs','KC'
'Cardinals','ARI'
'Titans','TEN'
'Browns','CLE'
'Buccaneers','TB'
'Cowboys','DAL'
'Panthers','CAR'
'Bills','BUF'
'49ers','SF'
'Colts','IND'
'Steelers','PIT'
'Vikings','MIN'
'Seahawks','SEA'
'Saints','NO'
'Bears','CHI'
'Chargers','LAC'
'Raiders','LV'
'Raiders','OAK'
'Ravens','BAL'
'Football Team','WAS'
'Bengals','CIN'
'Broncos','DEN'
'Eagles','PHI'
'Dolphins','MIA'
'Texans','HOU'
'Patriots','NE'
'Lions','DET'
'Giants','NYG'
'Jets','NYJ'
'Falcons','ATL'
'Jaguars','JAC'
'Jaguars','JAX'
'Commanders','WAS'
